destination_country,destination_region,destination_city,queries
US,New York,New York,253575845
US,Nevada,Las Vegas,191113334
US,Florida,Orlando,115611842
US,California,Los Angeles,87403347
US,California,San Francisco,79977052
US,Florida,Miami,78610372
US,Illinois,Chicago,74156311
US,Hawaii,,63135378
US,California,San Diego,57529645
US,Florida,,55968132
US,District of Columbia,Washington,48422416
US,Massachusetts,Boston,45586477
US,Florida,Fort Lauderdale,37439058
US,Georgia,Atlanta,36089549
US,Washington,Seattle,36072243
US,Louisiana,New Orleans,35382704
US,Colorado,Denver,33025104
US,South Carolina,Myrtle Beach,32376107
US,Hawaii,Honolulu,31673157
US,California,,29599564
US,Texas,Houston,27463515
US,Texas,Dallas,27261568
US,Florida,Tampa,26834746
US,Texas,San Antonio,26680313
US,Arizona,Phoenix,26105907
US,Tennessee,Nashville,22210948
US,Pennsylvania,Philadelphia,21051336
US,Texas,Austin,20406107
US,,,17265757
US,Florida,Key West,16499473
US,New Jersey,Atlantic City,15183816
US,South Carolina,Charleston,15158643
US,Texas,,14364668
US,New Jersey,Newark,14027773
US,Missouri,St Louis,13897813
US,Minnesota,Minneapolis,13751811
US,Florida,Miami Beach,13721152
US,Florida,Fort Myers,12826609
US,Michigan,Detroit,12386521
US,Maryland,Baltimore,12378491
US,Georgia,Savannah,11593349
US,Tennessee,Gatlinburg,11579467
US,California,Anaheim,11286471
US,Arizona,,10837561
US,Maryland,Ocean City,10831563
US,California,Santa Barbara,10767638
US,California,Palm Springs,10740223
US,Virginia,Virginia Beach,10720278
US,Michigan,,10575418
US,Missouri,Branson,10299843
